,premise1,premise2,conclusion
887,ocean water is made of hydrogen and oxygen,oxygen is more common than hydrogen on earth,oxygen is the most common element found in the compounds that make up ocean water
2767,an animal gets the energy it needs to run from food,a dog is a kind of animal,a dog gets the energy it needs to run from food
2216,the brain is a part of the nervous system that can control the nervous system,"if an organ in a body system can control that body system, then that organ is a major organ in that body system",the brain is a major organ in the nervous system
235,a shark is a kind of fish,a fish is a kind of aquatic animal,a shark is a kind of aquatic animal
1174,light is a kind of wave,"when light hits a reflective object , that light bounces off that object","when light wave hits a reflective object, the light wave bounces off that object"
1589,some environments change colors,a chameleon can change colors,a chameleon and its environment can change colors
1960,cooling can be used by an animal for survival,if the environmental temperature is too hot then an animal in that environment may become hot,if the temperature of an animal's environment becomes too hot then that animal must cool itself
4423,plants are a kind of resource,recycling resources / nonrenewable resources has a positive impact on the environment / conservation of those resources,recycling plants has a positive impact on the conservation of resources
5096,metal is an electrical conductor,metal is a thermal conductor,metal can conduct electricity and heat
4552,friction occurs when the student is rubbing his hands together,friction causes the temperature of an object to increase,friction causes the temperature of student's hands to increase
1552,if an arctic fox's fur is a color then that arctic fox is that color,an arctic fox turns from brown to white for the winter,an arctic fox's fur turns from brown to white for the winter
4774,a leaf is a part of a green plant,leaves contain chlorophyll,a leaf is a part of a green plant that contains chlorophyll
993,drought can cause plants to dry out,drought may cause wildfires,drought can cause plants to dry out and cause wildfires
1734,predators must catch prey to eat prey,a predator is a kind of animal,some animals must catch prey to eat
814,a pollutions standard is a kind of standard for reducing pollutants emitted by vehicles,many vehicles emit pollution into the air,a pollution standard can help reduce pollutants emitted by vehicles
4446,water vapor is invisible,"water is in the gas state , called water vapor",water vapor is an invisible gas
3159,iron in contact with water and oxygen causes a chemical change,chemical reactions cause chemical change,iron in contact with water and oxygen is an example of chemical reactions
2115,food contains nutrients,a protein is a kind of nutrient,food contains proteins
1942,solar energy is a kind of light,sunlight is a kind of light,sunlight is a kind of solar energy
4831,some pollinating animals eat nectar,a flower is a part of a plant for attracting pollinators that produces nectar,nectar is used for attracting pollinators by plants
1152,sunlight is a kind of light,solar energy is a kind of light,sunlight is a kind of solar energy
1280,sunlight is a kind of electromagnetic radiation,sunlight can shine through a window,sunlight is a kind of electromagnetic radiation that can shine through a window
4475,a weather balloon is a kind of flexible container,"as air pressure surrounding a flexible container decreases , that flexible container will expand","if the air pressure surrounding a weather balloon decreases, the weather balloon will expand"
4239,an example of a fossil is a footprint in a rock,a paw print is a kind of footprint,an example of a fossil is a paw print in a rock
4503,a thunderstorm is a source of precipitation,cold fronts cause thunderstorms as they pass by,cold fronts cause precipitation as they pass by
4775,a leaf is a part of a green plant that contains chlorophyll,chlorophyll is a part of a plant used to perform photosynthesis,a leaf is a part of a green plant that is able to perform photosynthesis
338,metamorphic rock is formed from sedimentary rock,"the formation of metamorphic rock is a sequential process, with stages of rock being compacted, heated, recrystallized","metamorphic rock is formed from sedimentary rock being compacted, heated, and recrystallized"
3641,radio station broadcasting is a source of radio waves,a source of something emits that something,radio station broadcasting emits radio waves
4846,an animal hiding / gathering acorns has a positive impact on an oak tree by spreading those acorns to a new environment,a blue jay is a kind of animal,an blue jay hiding / gathering acorns has a positive impact on an oak tree by spreading those acorns to a new environment
2158,producing thrust causes an animal to move,a squid produces a stream of water out of its body that causes it to move,a squid produces thrust by pushing water out of its body
919,mountains can cause the water in the air mass to condense,mountain is a kind of geographic obstacles,mountain is the geographic obstacle that can cause the water in the air mass to condense
1933,sunlight can not travel through an opaque object,sunlight can travel through a hole,sunlight can travel through a hole in an opaque object
456,burning something is a kind of action,"if something occurs by performing an action, then that action is required for that something to occur","if something occurs by burning something else, then burning that something else is required for that something to occur"
4874,an increase in water has a positive impact on alligators,a flood is caused by an increase in water,a flood has a positive impact on alligators
4267,if something is made of minerals then that something contains minerals,rock is made of minerals,a rock contains minerals
477,an example of heating something is heating a building,a source of heat can be used to heat something,a source of heat can be used to heat a building
3107,the mass of the atom is determined by protons and neutrons,the nucleus of an atom is made of protons and neutrons,most of the mass of an atom is located in the nucleus
1519,an example of camouflage is an animal with white fur in the snow,camouflage is used for protection by animals against predators,white fur is used for protection by animals against predators in the snow
5059,chocolate changes from a solid to a liquid when it melts,matter in the liquid phase has variable shape,melted chocolate will have variable shape
4627,living in a body of water causes an organism to adapt to that body of water,aquatic animals live in bodies of water,aquatic animals adapt to living in water
4997,"calcium, carbon, and oxygen are three elements","calcium carbonate is made of calcium, carbon, and oxygen",calcium carbonate is made of three elements
1405,a caterpillar is a kind of insect,metamorphosis is when an insect changes from an immature form to an adult form,an example of metamorphosis is when a caterpillar changes from an immature form to an adult form
1725,a beak is used for catching food by some birds,eating food requires catching food,a beak is used for eating food by some birds
2157,flippers can be used by sea turtles for moving in their habitat,"if something is used for a process, then that something helps that process",flippers can help sea turtles move in their habitat
4832,a plant / living thing requires nutrients to grow,food contains nutrients for living things,a plant requires food to grow
2069,food is absorbed into the circulatory system through the blood,the circulatory system transports blood throughout the body,the circulatory system carries  food from the digestive systems to the rest of the body
4684,an adaptation is a kind of change,adapting is when a living thing responds to a change in an environment,an adaptation is a kind of change in response to a change in an environment
3530,feeling is when an living thing senses through touch,soft is a kind of touch sensation,soft is a kind of feeling
630,cutting down trees has a negative impact on an ecosystem / organisms living in an ecosystem,if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else,increasing the number of trees cut down has a negative impact on the environment
2334,volvox is a kind of protist,volvox reproduces sexually,volvox is a kind of protist that reproduces sexually
4323,burning coal emits sulfur dioxide,burning oil emits sulfur dioxide,burning coal and oil emit sulfur dioxide
3408,meters m are a metric / si unit used for measuring length,measuring is used for describing an object,meter is a unit used to describe the length of an object
3169,helium is a kind of element,elements are pure substances,helium is a pure substance
5063,"to increase the motion of molecules in water, the temperature of water has to be increased",heat means temperature increases,water has to be heated to increase the motion of molecules in water
3824,a block of ice is placed on a hot sidewalk,if something is placed on something else then that something is touching that something else,a block of ice is touching a hot sidewalk
4993,the iron nail has rusted,rusting is when iron chemically reacts with water and oxygen,a chemical reaction has happened on the iron nail
4570,a human is a kind of object,a child is a kind of young human,a child is a kind of object
5128,the changes in temperature over a period of time need to be shown in a graph,a line graph is used for showing change / data over time,a line graph can be used to show the changes in temperature over a period of time
2764,an animal requires energy to run,to require something means to need something,an animal needs energy to run
3887,a bear's fur and a forest environment are both dark in color,an example of camouflage is a bear having the same color as its environment,an example of camouflage is a bear's fur being the same dark color as a forest
746,an element is a kind of material,mercury is a kind of element,mercury is a kind of material
3180,first-aid instant cold pack is a kind of cold pack,cold pack reaction is a kind of endothermic reaction,first-aid instant cold pack is a kind of endothermic reaction
89,a halo is part of the milky way,a halo contains mostly old stars,the halo is the part of the milky way that contains mostly old stars
1498,an animal needs to attract a mate to reproduce,"in order to attract a mate, an animal must let other animal know that it is a potential mate",an animal needs to let other animals know that it is a potential mate to reproduce
4610,a frog is a kind of amphibian,amphibians lay eggs,frogs lay eggs
1783,echolocation can be used for hunting prey,bats must emit sound in order to echolocate,bats must emit sound in order to hunt their prey
2227,the testes produce male gametes in animals,a human is a kind of animal,the testes produce male gametes in humans
2807,as the number of fish in a lake increases the number of insects in that lake will decrease,if something decreases in number then there will be fewer of that something,if the number of fish in a lake increases there will be fewer insects in that lake
1087,a doorbell is a kind of electric device,closing an electric circuit causes an electrical device to function,an electric circuit causes a doorbell to function
3008,the metal on the roof of a car is in contact with air,air contains oxygen and water vapor,the metal on the roof of a car is in contact with oxygen and water vapor
2833,some bacteria are good for humans by helping digestion,digestion is when stomach acid breaks down food,some bacteria are good for humans by helping to break down food
1092,a hurricane is a kind of heat engine,a heat engine converts heat energy into mechanical energy,a hurricane converts heat energy into mechanical energy
3933,growth is when a plant grows,a plant requires water to grow,a plant requires water for growth
253,a horse is a kind of organism,if fossils of an organism change depending on the level in which they were found then that species of organism changed over time,"if fossils of horses change depending on the level in which they were found, then the horses has changed over time"
1315,a ramp is a kind of object,a block is a kind of object,a block and a ramp are kinds of objects
446,how long something lasts is a measure of how long that something is available,"as the use of a resource decreases , the length of time that resource being available will increases","as the use of a resource decreases, the length of time that that resource will last increases"
5115,matter in gas phase has variable volume and shape,variable is the opposite of definite,matter in gas phase has no definite volume and no definite shape
974,a plant's roots can cause weathering on rocks,a plant is a kind of living thing,a plant's roots causing weathering is an example of a living thing causing weathering
2316,green plants are made of plant cells,green plants are a kind of producer,green plants as producers are made of plant cells
3409,meters m are a metric / si unit used for measuring length,a classroom is usually measured in meter,meter is the si unit that can be used to measure a classroom
3447,salt is a kind of pure substance,pepper is a kind of substance,salt and pepper are two substances
3943,lungs are used for breathing air by birds,breathing is a kind of function,lungs perform the function of breathing in birds
2361,if something is required to perform a process then that something can be absorbed to perform that process,photosynthesis is a kind of process,if something is required to perform photosynthesis then that something can be absorbed to perform photosynthesis
4873,to receive something means to have an increase in that something,"when a body of water receives more water than it can hold , a flood occurs",a flood is caused by an increase in water
282,limestone is a kind of sedimentary rock that is formed by deposition / cementation and marble is a kind of metamorphic rock that is formed by rocks being exposed to extreme heat and pressure,class is a property of a rock and includes values of sedimentary / metamorphic / igneous,limestone and marble are different classes of rock and are formed by different methods
2055,a lung is a kind of organ for directly breathing in gasses,smoke is a kind of gas,lungs can be used for directly breathing in smoke
3845,the hot egg will decrease in temperature,the cold water will increase in temperature,the water will increase in temperature and the egg will decrease in temperature
2821,if snakes / rats / rabbits are eliminated then the population of hawks will decrease,to decrease can mean to decline,if snakes / rats / rabbits are eliminated then the population of hawks will decline
481,natural gas is used for heating homes by burning,natural gas is a nonrenewable resource,natural gas is a nonrenewable resource that is used for heating homes
2066,veins and arteries carry blood throughtout the body,the circulatory system transports blood throughout the body,veins / arteries are a part of the circulatory system
4065,high quality / rich / good soil has a high number of nutrients / amount of nitrogen,fertile soil is high in quality,fertile soil has a high amount of nutrients / nitrogen
